run_id,timestamp,user_id,task_type,agent_version,resolution_time_seconds,user_accepted,user_rating,abstained,error_occurred,lead_source,crm_stage,opportunity_value,workflow_stage,time_saved_minutes,prompt_version
RUN001,2026-01-01 09:49:27,USR119,lead_summary,B,5.15,True,5,False,False,Inbound - Whitepaper,Closed Lost,0,Pipeline Generation,19.1,v1.0
RUN002,2026-01-01 12:18:13,USR120,risk_analysis,B,6.35,True,3,False,False,Inbound - Demo Request,Technical Validation,188116,Deal Execution,22.8,v1.0
RUN003,2026-01-01 13:19:48,USR112,risk_analysis,B,6.63,False,1,False,True,Event - Summit,Negotiation,105332,Deal Execution,16.5,v1.0
RUN004,2026-01-01 14:16:59,USR124,risk_analysis,B,5.58,True,5,False,False,Partner Referral,Value/Impact,293727,Deal Execution,16.5,v1.1
RUN005,2026-01-02 09:41:27,USR112,follow_up,A,4.09,True,5,False,False,Outbound - Enterprise,MQL,0,Deal Execution,9.9,v1.0
RUN006,2026-01-02 13:25:17,USR121,risk_analysis,A,3.24,False,2,True,False,Event - Summit,Discovery,72999,Deal Execution,20.4,v1.1
RUN007,2026-01-02 16:12:45,USR115,risk_analysis,A,3.28,True,5,False,False,Outbound - Enterprise,SQL,96714,Deal Execution,15.3,v1.0
RUN008,2026-01-05 08:15:12,USR109,lead_summary,A,4.28,True,4,False,False,Inbound - Whitepaper,SAL,0,Pipeline Generation,16.9,v1.0
RUN009,2026-01-05 08:37:30,USR123,risk_analysis,B,5.09,False,1,False,True,Partner Referral,MQL,0,Deal Execution,18.3,v1.0
RUN010,2026-01-05 08:42:14,USR116,data_hygiene,A,3.86,True,3,False,False,Outbound - Enterprise,SAL,8367,Onboarding & Adoption,9.6,v1.1
RUN011,2026-01-05 08:55:07,USR120,lead_summary,A,2.42,True,5,False,False,Inbound - Website,MQL,0,Pipeline Generation,17.2,v1.0
RUN012,2026-01-05 10:09:14,USR124,follow_up,A,2.93,True,5,False,False,Event - Summit,SQL,25789,Deal Execution,11.1,v1.1
RUN013,2026-01-05 10:34:02,USR123,lead_summary,B,5.15,True,5,False,False,PLG - Free Trial,Discovery,18556,Pipeline Generation,10.8,v1.1
RUN014,2026-01-05 11:10:26,USR130,lead_summary,B,5.69,True,4,False,False,Inbound - Website,SQL,68932,Pipeline Generation,15.8,v1.0
RUN015,2026-01-05 11:30:39,USR116,lead_summary,A,3.78,True,5,False,False,Outbound - Cold,Technical Validation,172735,Pipeline Generation,14.0,v1.0
